FOLD,N_LABELS,N_TRAIN_PAIRS,N_EFFECTIVE_SOURCE_DRAWS,N_CONNECTED_COMPONENTS,LARGEST_COMPONENT_LABEL_FRACTION,LARGEST_COMPONENT_PAIR_FRACTION,LSQR_ISTOP,LSQR_ITERS,LSQR_ACOND,LSQR_R1NORM,LSQR_ARNORM,N_HOLDOUT_PAIRS,N_HOLDOUT_SAME_COMPONENT,N_HOLDOUT_CROSS_COMPONENT,BEFORE_RAW_WIDTH_KMS,AFTER_RAW_WIDTH_KMS,BEFORE_WIDTH_Z,AFTER_WIDTH_Z,BEFORE_TAIL_GT_3,AFTER_TAIL_GT_3,BEFORE_TAIL_GT_5,AFTER_TAIL_GT_5,BEFORE_MEAN_GAUSSIAN_PAIR_LOSS,AFTER_MEAN_GAUSSIAN_PAIR_LOSS,MACRO_WIDTH_BEFORE_Z,MACRO_WIDTH_AFTER_Z,MACRO_GAUSSIAN_PAIR_LOSS_BEFORE,MACRO_GAUSSIAN_PAIR_LOSS_AFTER,PERMUTATION,CONTROL
2,534,1312130,644731.0,1,1.0,1.0,2,128,439.966146372796,831.9489560759903,0.0029096740195040985,346600,345743,857,3.644856048461791,3.495336592185918,0.9374348400395027,0.8997604346592585,0.04280636195092887,0.039700008387733084,0.017747286279114833,0.017576639295661806,4.040457155823455,3.993248133942964,0.9250331753717139,0.9098824578100334,3.8415122753910445,3.8248746626647345,52,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
3,533,1310358,644088.0,1,1.0,1.0,2,125,420.51954141630335,830.8918697792893,0.0027493364086413922,348218,347291,927,3.6592944788097395,3.4979948858433216,0.9396782902194285,0.8997690128346618,0.0430301965786617,0.03982827081611674,0.01804250614038371,0.018033867851455984,4.028646702009677,3.980628758944564,0.9273097657169586,0.913389381893947,3.8474069792705063,3.8279907153250394,52,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
4,532,1311211,644230.0,1,1.0,1.0,2,118,381.0824588018292,831.903001011394,0.0029163147680610598,347113,346133,980,3.634417599887467,3.474287487513551,0.9342514973143228,0.8944739723105377,0.04263678990445869,0.039577272320177506,0.018154871104459847,0.017900633571488415,4.032630319348066,3.9827425033635806,0.9237117787966808,0.9071403852284722,3.8958608766057683,3.8777334158199075,52,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
0,527,1322042,646951.0,1,1.0,1.0,2,134,492.308012472923,825.0608195172849,0.0035018637443356357,348461,347545,916,3.661535672644189,3.4007203337796126,0.9632068149887514,0.9000494787291802,0.045455984117164686,0.0400552446445784,0.01928383374814772,0.018521342559956265,4.172433796409601,4.080487156809719,0.9448669623181885,0.9203011641421842,3.986322692739185,3.951138345590273,53,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
1,527,1324226,647526.0,1,1.0,1.0,2,131,467.85109903658423,825.6354376983713,0.003299516142401833,346290,345336,954,3.660030387869062,3.389944734598582,0.961518587743704,0.8955366392009216,0.04556431996664118,0.03982787777700558,0.019439039080779298,0.01863113026154238,4.164133572682762,4.073489835152818,0.9410106742298087,0.9178053795273021,3.965229301706352,3.934850399016428,53,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
2,527,1323796,648095.0,1,1.0,1.0,2,134,488.6347202749771,826.1050811627822,0.0036007920177996994,346600,345664,936,3.644207903106111,3.3864430613301133,0.9602224922932547,0.8954757350680996,0.04503506295130531,0.039492107942973524,0.018914321421958896,0.018208433623403072,4.122200540453939,4.030222700869767,0.9333401236363376,0.9108824609139328,3.867765598348544,3.8353016314083246,53,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
3,528,1322405,647592.0,1,1.0,1.0,2,137,504.29950702908644,825.0271480357383,0.00344828644698455,348218,347323,895,3.6589517084016063,3.3969737431756952,0.9625927550291826,0.8952399106394853,0.04578447151498749,0.03976413885633834,0.019221301209536943,0.01858212672353976,4.113549724998911,4.022205855663503,0.93484624000007,0.9107667923183259,3.876741135643149,3.8439743431978997,53,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
4,527,1323193,647779.0,1,1.0,1.0,2,132,476.3754909297226,826.4203508761768,0.002757303891714822,347113,346173,940,3.634070587168028,3.371526148649727,0.957321799230074,0.8900576954549879,0.04509306040621308,0.03939070926964264,0.01927071146507671,0.018438757499862787,4.109132055114404,4.015267013913906,0.9317843704915932,0.9077009417634859,3.9192777565072086,3.8871855817002268,53,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
0,527,1322147,644198.0,1,1.0,1.0,2,128,446.8770244458371,831.2044728798521,0.00251894492036086,348461,347411,1050,3.6604573500783757,3.5230063452363938,0.9311178390621485,0.9015474357869704,0.042042422375802725,0.03818244097049316,0.017650563741505018,0.017017308029970264,4.059861598058558,4.003040638683764,0.9339154057295836,0.9212514383986116,3.9616895999712542,3.9408707424018625,54,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
1,527,1324158,644779.0,1,1.0,1.0,2,130,465.410860733479,831.6037816758453,0.0032739186167786293,346290,345260,1030,3.6611103731949255,3.530451982221332,0.9304381887781488,0.9019599006075871,0.0421479464751202,0.03802351850779123,0.017876383015698313,0.01726524937728089,4.058790210875183,3.9998864675469137,0.9307044995144876,0.9186009582219544,3.939369285204572,3.9177997044743242,54,FULL_PIPELINE_EXPOSURE_NIGHT_PERMUTATION
