PROGRAM_P,PROGRAM_Q,DIRECTION,LAG_DAYS,R,N,IS_PRIMARY_LAG
BRIGHT,DARK,P_B_Q_A,23,0.016966267369880245,100,False
BRIGHT,DARK,P_B_Q_A,-24,-0.07997276816944589,88,False
BRIGHT,DARK,P_B_Q_A,24,0.05497048925807174,95,False
BRIGHT,DARK,P_B_Q_A,-25,0.007996932695137925,90,False
BRIGHT,DARK,P_B_Q_A,25,-0.0060465578587013845,96,False
BRIGHT,DARK,P_B_Q_A,-26,-0.11697925168923876,84,False
BRIGHT,DARK,P_B_Q_A,26,9.875463289656474e-05,94,False
BRIGHT,DARK,P_B_Q_A,-27,0.02969332743911889,90,False
BRIGHT,DARK,P_B_Q_A,27,-0.027113683528739274,95,False
BRIGHT,DARK,P_B_Q_A,-28,-0.053989944546641,93,False
BRIGHT,DARK,P_B_Q_A,28,0.05102417040030531,92,False
BRIGHT,DARK,P_B_Q_A,-29,-0.11990061258379027,89,False
BRIGHT,DARK,P_B_Q_A,29,-0.008979214239827716,91,False
BRIGHT,DARK,P_B_Q_A,-30,-0.11684415923394892,89,False
BRIGHT,DARK,P_B_Q_A,30,0.04018782090094424,87,False
BACKUP,BRIGHT,P_A_Q_B,0,0.13312332507026356,59,True
BACKUP,BRIGHT,P_A_Q_B,-1,-0.03023251200425411,49,False
BACKUP,BRIGHT,P_A_Q_B,1,0.04959165060305024,50,False
BACKUP,BRIGHT,P_A_Q_B,-2,0.14167978841238815,51,False
BACKUP,BRIGHT,P_A_Q_B,2,-0.0373828880280088,51,False
BACKUP,BRIGHT,P_A_Q_B,-3,0.12258072165894705,50,False
BACKUP,BRIGHT,P_A_Q_B,3,-0.016688291802825498,49,False
BACKUP,BRIGHT,P_A_Q_B,-4,0.015473884017608895,48,False
BACKUP,BRIGHT,P_A_Q_B,4,-0.09948231566718697,49,False
BACKUP,BRIGHT,P_A_Q_B,-5,-0.16727537465202993,48,False
BACKUP,BRIGHT,P_A_Q_B,5,-0.25075769583380697,42,False
BACKUP,BRIGHT,P_A_Q_B,-6,-0.0740608202649006,47,False
BACKUP,BRIGHT,P_A_Q_B,6,-0.00367517312888153,39,False
BACKUP,BRIGHT,P_A_Q_B,-7,-0.24812484937246634,43,False
BACKUP,BRIGHT,P_A_Q_B,7,-0.06275890088303954,41,False
BACKUP,BRIGHT,P_A_Q_B,-8,-0.13619027743633827,50,False
BACKUP,BRIGHT,P_A_Q_B,8,0.2551655947421842,43,False
BACKUP,BRIGHT,P_A_Q_B,-9,-0.004190709892360556,51,False
BACKUP,BRIGHT,P_A_Q_B,9,0.18308434408523938,41,False
BACKUP,BRIGHT,P_A_Q_B,-10,0.19467265045506918,50,False
BACKUP,BRIGHT,P_A_Q_B,10,0.08593190425467237,41,False
BACKUP,BRIGHT,P_A_Q_B,-11,-0.004073387039823509,44,False
BACKUP,BRIGHT,P_A_Q_B,11,0.07196108566541844,42,False
BACKUP,BRIGHT,P_A_Q_B,-12,0.03855698360382069,47,False
BACKUP,BRIGHT,P_A_Q_B,12,0.03990648660024677,43,False
BACKUP,BRIGHT,P_A_Q_B,-13,0.2979117626039407,48,False
BACKUP,BRIGHT,P_A_Q_B,13,0.10448316893727848,48,False
BACKUP,BRIGHT,P_A_Q_B,-14,0.3371800648078733,48,False
BACKUP,BRIGHT,P_A_Q_B,14,0.08265894415996891,43,False
BACKUP,BRIGHT,P_A_Q_B,-15,-0.04655055550227036,46,False
BACKUP,BRIGHT,P_A_Q_B,15,0.19000110470220344,40,False
BACKUP,BRIGHT,P_A_Q_B,-16,0.03945261483718433,43,False
BACKUP,BRIGHT,P_A_Q_B,16,0.1705438597265192,39,False
BACKUP,BRIGHT,P_A_Q_B,-17,0.027773835189511,46,False
BACKUP,BRIGHT,P_A_Q_B,17,0.062263408126334484,40,False
BACKUP,BRIGHT,P_A_Q_B,-18,-0.2201414281100228,44,False
BACKUP,BRIGHT,P_A_Q_B,18,0.08134864171372629,37,False
BACKUP,BRIGHT,P_A_Q_B,-19,-0.003011749265325024,41,False
BACKUP,BRIGHT,P_A_Q_B,19,0.11789052157645867,40,False
BACKUP,BRIGHT,P_A_Q_B,-20,-0.1263619536399425,46,False
BACKUP,BRIGHT,P_A_Q_B,20,0.08242823761679521,40,False
BACKUP,BRIGHT,P_A_Q_B,-21,-0.20606596681798833,47,False
BACKUP,BRIGHT,P_A_Q_B,21,0.004191665631267663,36,False
BACKUP,BRIGHT,P_A_Q_B,-22,-0.1557776512701386,51,False
BACKUP,BRIGHT,P_A_Q_B,22,-0.08429990793945677,43,False
BACKUP,BRIGHT,P_A_Q_B,-23,0.0003735674493448454,45,False
BACKUP,BRIGHT,P_A_Q_B,23,0.0022474301986611547,38,False
BACKUP,BRIGHT,P_A_Q_B,-24,-0.07025492194227809,46,False
BACKUP,BRIGHT,P_A_Q_B,24,0.24539646250075417,37,False
BACKUP,BRIGHT,P_A_Q_B,-25,-0.22086772876314067,50,False
BACKUP,BRIGHT,P_A_Q_B,25,0.19257215318073886,37,False
BACKUP,BRIGHT,P_A_Q_B,-26,0.20451224512017918,53,False
BACKUP,BRIGHT,P_A_Q_B,26,0.01590197932289294,39,False
BACKUP,BRIGHT,P_A_Q_B,-27,-0.3688301274043603,51,False
BACKUP,BRIGHT,P_A_Q_B,27,-0.2857635370822705,37,False
BACKUP,BRIGHT,P_A_Q_B,-28,0.14968105946490975,51,False
BACKUP,BRIGHT,P_A_Q_B,28,-0.19361481410671033,40,False
BACKUP,BRIGHT,P_A_Q_B,-29,-0.05231605121157449,43,False
BACKUP,BRIGHT,P_A_Q_B,29,-0.0012858088772079845,39,False
BACKUP,BRIGHT,P_A_Q_B,-30,0.0977799338398173,47,False
BACKUP,BRIGHT,P_A_Q_B,30,-0.1324970382996183,36,False
BACKUP,BRIGHT,P_B_Q_A,0,0.1037654996401579,60,True
BACKUP,BRIGHT,P_B_Q_A,-1,-0.024699135436828747,50,False
BACKUP,BRIGHT,P_B_Q_A,1,0.013063506751898869,50,False
BACKUP,BRIGHT,P_B_Q_A,-2,0.1015612545342351,52,False
BACKUP,BRIGHT,P_B_Q_A,2,-0.06189957112256111,52,False
BACKUP,BRIGHT,P_B_Q_A,-3,0.12437133055142087,50,False
BACKUP,BRIGHT,P_B_Q_A,3,0.007836014068993471,48,False
BACKUP,BRIGHT,P_B_Q_A,-4,-0.013741843506346626,48,False
BACKUP,BRIGHT,P_B_Q_A,4,-0.061078025168970124,49,False
BACKUP,BRIGHT,P_B_Q_A,-5,-0.21481421244386675,47,False
BACKUP,BRIGHT,P_B_Q_A,5,-0.2967941800938097,42,False
BACKUP,BRIGHT,P_B_Q_A,-6,-0.022446654867646958,47,False
BACKUP,BRIGHT,P_B_Q_A,6,0.0008632980161622284,38,False
BACKUP,BRIGHT,P_B_Q_A,-7,-0.20875845035209076,44,False
BACKUP,BRIGHT,P_B_Q_A,7,-0.11367501271487004,40,False
BACKUP,BRIGHT,P_B_Q_A,-8,-0.14547178687539158,50,False
BACKUP,BRIGHT,P_B_Q_A,8,0.2702372414971589,43,False
BACKUP,BRIGHT,P_B_Q_A,-9,-0.04263279111173087,50,False
BACKUP,BRIGHT,P_B_Q_A,9,0.18083250944024085,41,False
BACKUP,BRIGHT,P_B_Q_A,-10,0.1505685959037271,52,False
BACKUP,BRIGHT,P_B_Q_A,10,0.10278717396670439,41,False
BACKUP,BRIGHT,P_B_Q_A,-11,-0.029881675991169893,46,False
BACKUP,BRIGHT,P_B_Q_A,11,0.06638588949671188,43,False
BACKUP,BRIGHT,P_B_Q_A,-12,-0.008934511304308017,48,False
BACKUP,BRIGHT,P_B_Q_A,12,-0.006735604772524929,44,False
BACKUP,BRIGHT,P_B_Q_A,-13,0.2825682676661165,50,False
BACKUP,BRIGHT,P_B_Q_A,13,0.09196355770068007,48,False
BACKUP,BRIGHT,P_B_Q_A,-14,0.21961211820971205,49,False
BACKUP,BRIGHT,P_B_Q_A,14,0.03754760689096122,44,False
BACKUP,BRIGHT,P_B_Q_A,-15,0.005990049483128782,48,False
BACKUP,BRIGHT,P_B_Q_A,15,0.147046517110766,42,False
BACKUP,BRIGHT,P_B_Q_A,-16,-0.005138746926499988,44,False
BACKUP,BRIGHT,P_B_Q_A,16,0.13483947070922686,40,False
BACKUP,BRIGHT,P_B_Q_A,-17,0.08111685044587871,46,False
BACKUP,BRIGHT,P_B_Q_A,17,0.06518629860648646,41,False
BACKUP,BRIGHT,P_B_Q_A,-18,-0.2712362060922379,45,False
BACKUP,BRIGHT,P_B_Q_A,18,0.041272396983867324,37,False
BACKUP,BRIGHT,P_B_Q_A,-19,-0.03315054913407636,41,False
BACKUP,BRIGHT,P_B_Q_A,19,0.06109922761041972,40,False
BACKUP,BRIGHT,P_B_Q_A,-20,-0.15302562027171326,45,False
BACKUP,BRIGHT,P_B_Q_A,20,0.10615664321924397,40,False
BACKUP,BRIGHT,P_B_Q_A,-21,-0.1935924291991374,46,False
BACKUP,BRIGHT,P_B_Q_A,21,-0.04131577663786723,36,False
BACKUP,BRIGHT,P_B_Q_A,-22,-0.17693219373864236,50,False
BACKUP,BRIGHT,P_B_Q_A,22,-0.07023332717445765,44,False
BACKUP,BRIGHT,P_B_Q_A,-23,0.09140704008886782,45,False
BACKUP,BRIGHT,P_B_Q_A,23,0.03723425505560666,39,False
BACKUP,BRIGHT,P_B_Q_A,-24,-0.12219159518027758,46,False
BACKUP,BRIGHT,P_B_Q_A,24,0.21938071911960122,36,False
BACKUP,BRIGHT,P_B_Q_A,-25,-0.17885304841166544,50,False
BACKUP,BRIGHT,P_B_Q_A,25,0.17075548229795023,39,False
BACKUP,BRIGHT,P_B_Q_A,-26,0.17529041606089746,52,False
BACKUP,BRIGHT,P_B_Q_A,26,0.0023890256223975124,40,False
BACKUP,BRIGHT,P_B_Q_A,-27,-0.29527403847783784,51,False
BACKUP,BRIGHT,P_B_Q_A,27,-0.28123963212902064,36,False
BACKUP,BRIGHT,P_B_Q_A,-28,0.11980087004570311,51,False
BACKUP,BRIGHT,P_B_Q_A,28,-0.22805277466793966,41,False
BACKUP,BRIGHT,P_B_Q_A,-29,-0.12255320613491212,42,False
BACKUP,BRIGHT,P_B_Q_A,29,0.007869591992075913,41,False
BACKUP,BRIGHT,P_B_Q_A,-30,0.02706537500538099,46,False
BACKUP,BRIGHT,P_B_Q_A,30,-0.13127100457607244,36,False
BACKUP,DARK,P_A_Q_B,0,0.07699372218881989,34,True
BACKUP,DARK,P_A_Q_B,-1,0.07332763921279656,37,False
BACKUP,DARK,P_A_Q_B,1,0.21929023385234467,38,False
BACKUP,DARK,P_A_Q_B,-2,0.2202636371038641,39,False
BACKUP,DARK,P_A_Q_B,2,0.027730178585720532,37,False
BACKUP,DARK,P_A_Q_B,-3,0.24736105803894748,42,False
BACKUP,DARK,P_A_Q_B,3,0.24767316606244302,31,False
BACKUP,DARK,P_A_Q_B,-4,0.15073534103094316,42,False
BACKUP,DARK,P_A_Q_B,4,0.3905876204783739,35,False
BACKUP,DARK,P_A_Q_B,-5,0.20066730939284422,46,False
BACKUP,DARK,P_A_Q_B,5,0.1834645062353673,35,False
BACKUP,DARK,P_A_Q_B,-6,0.34918268552507364,43,False
BACKUP,DARK,P_A_Q_B,6,0.4788536368047968,33,False
BACKUP,DARK,P_A_Q_B,-7,0.4508013217028803,41,False
BACKUP,DARK,P_A_Q_B,7,0.4445585299005192,33,False
BACKUP,DARK,P_A_Q_B,-8,0.43401072998342743,43,False
BACKUP,DARK,P_A_Q_B,8,0.32733104760934495,38,False
BACKUP,DARK,P_A_Q_B,-9,0.38988854547649165,45,False
BACKUP,DARK,P_A_Q_B,9,0.20071695859235106,39,False
BACKUP,DARK,P_A_Q_B,-10,0.5716344294212043,47,False
BACKUP,DARK,P_A_Q_B,10,0.003315161547054343,31,False
BACKUP,DARK,P_A_Q_B,-11,0.49915062525281556,40,False
BACKUP,DARK,P_A_Q_B,11,0.030444277270556944,35,False
BACKUP,DARK,P_A_Q_B,-12,0.638824397475507,39,False
BACKUP,DARK,P_A_Q_B,12,-0.06448738589015006,40,False
BACKUP,DARK,P_A_Q_B,-13,0.5352336344668727,37,False
BACKUP,DARK,P_A_Q_B,13,0.006145040708727884,36,False
BACKUP,DARK,P_A_Q_B,-14,0.3103428766986415,38,False
BACKUP,DARK,P_A_Q_B,14,0.04655902781545781,32,False
BACKUP,DARK,P_A_Q_B,-15,0.4595398944608825,36,False
BACKUP,DARK,P_A_Q_B,15,0.1927089540751508,34,False
BACKUP,DARK,P_A_Q_B,-16,0.35458810317305417,36,False
BACKUP,DARK,P_A_Q_B,16,0.6361076413731719,34,False
BACKUP,DARK,P_A_Q_B,-17,0.4001570276414022,41,False
BACKUP,DARK,P_A_Q_B,17,0.5418328557791612,32,False
BACKUP,DARK,P_A_Q_B,-18,0.4826922678365873,39,False
BACKUP,DARK,P_A_Q_B,18,0.418313128085103,39,False
BACKUP,DARK,P_A_Q_B,-19,0.5045697272406725,34,False
BACKUP,DARK,P_A_Q_B,19,0.5355820560416463,41,False
BACKUP,DARK,P_A_Q_B,-20,0.4963082024278295,36,False
BACKUP,DARK,P_A_Q_B,20,0.36012136775090126,38,False
BACKUP,DARK,P_A_Q_B,-21,0.3917246237023581,39,False
BACKUP,DARK,P_A_Q_B,21,0.022521549388772474,34,False
BACKUP,DARK,P_A_Q_B,-22,0.43106722428918876,40,False
BACKUP,DARK,P_A_Q_B,22,0.3078939136348834,37,False
BACKUP,DARK,P_A_Q_B,-23,0.39976712781677987,32,False
BACKUP,DARK,P_A_Q_B,23,0.18685042401419957,39,False
BACKUP,DARK,P_A_Q_B,-24,0.22358973841599844,37,False
BACKUP,DARK,P_A_Q_B,24,-0.01829321363242139,34,False
BACKUP,DARK,P_A_Q_B,-25,0.2939893129631552,38,False
BACKUP,DARK,P_A_Q_B,25,0.09242630352840603,32,False
BACKUP,DARK,P_A_Q_B,-26,0.19760923531654603,31,False
BACKUP,DARK,P_A_Q_B,26,0.10520618526006804,32,False
BACKUP,DARK,P_A_Q_B,-27,0.3217573551394282,34,False
BACKUP,DARK,P_A_Q_B,27,-0.13955467376556638,33,False
BACKUP,DARK,P_A_Q_B,-28,0.29871401997176705,37,False
BACKUP,DARK,P_A_Q_B,28,-0.2821404217774851,28,False
BACKUP,DARK,P_A_Q_B,-29,0.10841069465770667,32,False
BACKUP,DARK,P_A_Q_B,29,0.02089279473013032,31,False
BACKUP,DARK,P_A_Q_B,-30,0.15099262971141222,33,False
BACKUP,DARK,P_A_Q_B,30,0.01508599026505043,33,False
BACKUP,DARK,P_B_Q_A,0,0.004632720149962741,35,True
BACKUP,DARK,P_B_Q_A,-1,0.12601960839777335,37,False
BACKUP,DARK,P_B_Q_A,1,0.2517216866800236,39,False
BACKUP,DARK,P_B_Q_A,-2,0.33593011825772595,38,False
BACKUP,DARK,P_B_Q_A,2,0.15166207561369666,38,False
BACKUP,DARK,P_B_Q_A,-3,0.25649879471294307,41,False
BACKUP,DARK,P_B_Q_A,3,0.17024861043148756,31,False
BACKUP,DARK,P_B_Q_A,-4,0.24192752280080768,42,False
BACKUP,DARK,P_B_Q_A,4,0.3392450691579029,36,False
BACKUP,DARK,P_B_Q_A,-5,0.2836760747586162,46,False
BACKUP,DARK,P_B_Q_A,5,0.2076124937069129,36,False
BACKUP,DARK,P_B_Q_A,-6,0.3264124357008258,42,False
BACKUP,DARK,P_B_Q_A,6,0.5275271278226036,33,False
BACKUP,DARK,P_B_Q_A,-7,0.37051905665228135,40,False
BACKUP,DARK,P_B_Q_A,7,0.3973408520136064,32,False
BACKUP,DARK,P_B_Q_A,-8,0.40326998664773916,43,False
BACKUP,DARK,P_B_Q_A,8,0.37808091691608325,37,False
BACKUP,DARK,P_B_Q_A,-9,0.5241634821881809,44,False
