PERMUTATION,MEAN_INCREMENTAL_GAIN_KMS,MIN_FOLD_GAIN_KMS,MAX_FOLD_GAIN_KMS,N_POSITIVE_FOLDS,MEAN_COMMON_SUPPORT,ELAPSED_SECONDS
77,-0.0082704613559098,-0.0107042506761203,-0.0060188601063648,0,341514.6,216.3726106000031
78,-0.0074570279702714,-0.0100827739482811,-0.0049783546442698,0,341657.8,211.6413442999983
79,-0.0079470336351388,-0.0116747809206589,-0.0035563446472957,0,341575.0,204.1594116999986
80,-0.0064060922410587,-0.0090146341291195,-0.0034471415539547,0,341615.4,214.692395399994
81,-0.0062669973835692,-0.0078733991639001,-0.0042957606893354,0,341596.6,216.70540930000425
82,-0.0071333424579186,-0.0088813375874603,-0.0057420597284449,0,341545.6,215.30032909999863
83,-0.0067845189694303,-0.0095506571837677,-0.0030837410086097,0,341615.4,226.76641969999764
84,-0.0065183433184518,-0.0090706627653776,-0.0030829815921169,0,341608.0,218.87503129999823
85,-0.006649675918492,-0.0089525063490443,-0.0032336432274506,0,341591.2,215.51938560000417
86,-0.0067932172306958,-0.0094038197919852,-0.0043051318056641,0,341599.0,214.4202923000048
87,-0.006277698378569,-0.0084129803682491,-0.0045924948914817,0,341598.4,205.1025585000025
88,-0.0075654537016055,-0.0082109458372205,-0.0067608836879182,0,341514.0,212.03455449999456
89,-0.006128799225848,-0.0081974340948547,-0.00485841134038,0,341590.0,213.47917769999916
90,-0.007143396184538,-0.0089153711508696,-0.0055269859625219,0,341539.0,213.7819976000028
91,-0.0064975663032946,-0.0081000744773787,-0.0042576695070954,0,341558.6,229.47822389999783
92,-0.0071185780774793,-0.0107042491440405,-0.003597335213842,0,341571.8,220.699203199998
93,-0.0059723241768586,-0.0087063632466568,-0.0026219238518394,0,341684.8,214.06695639999816
94,-0.0077978513086962,-0.009628618949105,-0.0069234553073131,0,341606.6,216.44802199999685
95,-0.0076613031560566,-0.0116231114869007,-0.0038693854274618,0,341594.6,207.8250670000052
96,-0.0059690384197473,-0.0073182161677882,-0.0050245903921055,0,341624.8,214.15296719999608
97,-0.0055694070160215,-0.0074439991999684,-0.0039118589232778,0,341580.6,214.94139149999685
98,-0.0067974892007427,-0.0086099201483826,-0.0052609434710046,0,341545.2,212.03589049999573
