HALF,PROGRAM,NIGHT,OFFSET_KMS,COMPONENT,N_LABELS_FIT,N_TRAIN_PAIRS,N_CONNECTED_COMPONENTS
A,BACKUP,20220319,-1.2057074924175177,0,77,479839,5
A,BACKUP,20220325,2.8710088667096576,0,77,479839,5
A,BACKUP,20220331,-10.52082517022476,0,77,479839,5
A,BACKUP,20220409,0.3225606900023377,0,77,479839,5
A,BACKUP,20220412,-0.9298843576577719,0,77,479839,5
A,BACKUP,20220416,-1.5709469559931595,0,77,479839,5
A,BACKUP,20220417,-0.8816021020620189,0,77,479839,5
A,BACKUP,20220418,-2.560140924303731,0,77,479839,5
A,BACKUP,20220422,0.8804440088887259,0,77,479839,5
A,BACKUP,20220423,-0.4841696019976715,0,77,479839,5
A,BACKUP,20220426,0.25186887002627734,0,77,479839,5
A,BACKUP,20220429,-1.2849444186724188,0,77,479839,5
A,BACKUP,20220430,-2.931339542107184,0,77,479839,5
A,BACKUP,20220503,-1.0445939298221285,0,77,479839,5
A,BACKUP,20220505,0.8120436302539142,0,77,479839,5
A,BACKUP,20220509,-0.723358691828725,0,77,479839,5
A,BACKUP,20220510,-0.35155130909346505,0,77,479839,5
A,BACKUP,20220511,-1.4363627307929736,0,77,479839,5
A,BACKUP,20220513,-1.3979270963153443,0,77,479839,5
A,BACKUP,20220514,-1.5790794880304233,0,77,479839,5
A,BACKUP,20220515,-2.00447933698913,0,77,479839,5
A,BACKUP,20220526,-2.2635028746070383,0,77,479839,5
A,BACKUP,20220527,-0.18792922506725573,0,77,479839,5
A,BACKUP,20220528,-1.4301582437704745,0,77,479839,5
A,BACKUP,20220601,0.06769181799473672,0,77,479839,5
A,BACKUP,20220604,0.3863850902554189,0,77,479839,5
A,BACKUP,20220605,-0.06769181799473675,0,77,479839,5
A,BACKUP,20220607,0.16199543524516097,0,77,479839,5
A,BACKUP,20220608,-2.4508495273179034,0,77,479839,5
A,BACKUP,20220609,0.63510732601509,0,77,479839,5
A,BACKUP,20220610,0.5531383406769397,0,77,479839,5
A,BACKUP,20220612,-1.3335151933904972,0,77,479839,5
B,BACKUP,20211125,3.7380279183117704,0,77,477730,5
B,BACKUP,20211206,3.373253447262378,0,77,477730,5
B,BACKUP,20211207,3.2082126012616814,0,77,477730,5
B,BACKUP,20211216,7.451864786763824,0,77,477730,5
B,BACKUP,20211217,4.551948799503204,0,77,477730,5
B,BACKUP,20211218,3.897097985419034,0,77,477730,5
B,BACKUP,20211220,2.8808646941129776,0,77,477730,5
B,BACKUP,20220101,2.690430400944458,0,77,477730,5
B,BACKUP,20220111,2.275606310851729,0,77,477730,5
B,BACKUP,20220112,-1.2901482745093298,0,77,477730,5
B,BACKUP,20220113,-0.5901545683697009,0,77,477730,5
B,BACKUP,20220114,1.8689621221991322,0,77,477730,5
B,BACKUP,20220122,3.6832820127597827,0,77,477730,5
B,BACKUP,20220123,1.012089007715411,0,77,477730,5
B,BACKUP,20220126,-5.927446990260977,0,77,477730,5
B,BACKUP,20220127,0.5874095446882825,0,77,477730,5
B,BACKUP,20220129,0.9994466408662028,0,77,477730,5
B,BACKUP,20220131,0.6048697208883606,0,77,477730,5
B,BACKUP,20220203,1.4535932684346102,0,77,477730,5
B,BACKUP,20220205,-4.195198232248848,0,77,477730,5
B,BACKUP,20220206,1.0138816543365865,0,77,477730,5
B,BACKUP,20220207,-3.4211990931036658,0,77,477730,5
B,BACKUP,20220210,0.6511386316632913,0,77,477730,5
B,BACKUP,20220216,0.967039134526964,0,77,477730,5
B,BACKUP,20220217,1.2377836492930863,0,77,477730,5
B,BACKUP,20220221,-3.2129085249696896,0,77,477730,5
B,BACKUP,20220227,1.9969353284172227,0,77,477730,5
B,BACKUP,20220302,-0.41397757443144845,0,77,477730,5
B,BACKUP,20220303,-1.6458820919389248,0,77,477730,5
B,BACKUP,20220305,-4.942823314979117,0,77,477730,5
B,BACKUP,20220310,2.2124712113662417,0,77,477730,5
B,BACKUP,20220312,1.4643502371273687,0,77,477730,5
B,BACKUP,20220313,0.3409813991493687,0,77,477730,5
B,BACKUP,20220315,-2.1273756649558484,0,77,477730,5
B,BACKUP,20220316,-0.6263508698766547,0,77,477730,5
B,BACKUP,20220318,-1.1150579703730517,0,77,477730,5
B,BACKUP,20220319,-1.0823157433751962,0,77,477730,5
B,BACKUP,20220325,2.9301793539511602,0,77,477730,5
B,BACKUP,20220331,-10.46386541593513,0,77,477730,5
B,BACKUP,20220409,0.4601154895797685,0,77,477730,5
B,BACKUP,20220412,-0.8597696192161637,0,77,477730,5
B,BACKUP,20220416,-1.4849705961380506,0,77,477730,5
B,BACKUP,20220417,-0.8462743933168774,0,77,477730,5
B,BACKUP,20220418,-2.2749365545800657,0,77,477730,5
B,BACKUP,20220422,1.055497198132223,0,77,477730,5
B,BACKUP,20220423,-0.4240392918667052,0,77,477730,5
B,BACKUP,20220426,0.4339002684837593,0,77,477730,5
B,BACKUP,20220429,-1.035644680192448,0,77,477730,5
B,BACKUP,20220430,-2.729443983605816,0,77,477730,5
B,BACKUP,20220503,-0.9004417811629835,0,77,477730,5
B,BACKUP,20220505,0.9455881519948377,0,77,477730,5
