SCOPE,FOLD,LABEL,PROGRAM,NIGHT,PETAL,OFFSET_KMS,COMPONENT,N_LABELS_FIT,N_TRAIN_PAIRS
REAL,1,DARK:20220322:P2,DARK,20220322,2,0.16653655797013991,0,4579,1325065
REAL,1,DARK:20220322:P3,DARK,20220322,3,0.12490320050891858,0,4579,1325065
REAL,1,DARK:20220322:P4,DARK,20220322,4,0.5237314278192068,0,4579,1325065
REAL,1,DARK:20220322:P5,DARK,20220322,5,0.43535627648728126,0,4579,1325065
REAL,1,DARK:20220322:P6,DARK,20220322,6,-0.33390932471236834,0,4579,1325065
REAL,1,DARK:20220322:P7,DARK,20220322,7,-0.6805399045895113,0,4579,1325065
REAL,1,DARK:20220322:P8,DARK,20220322,8,0.014996242937065876,0,4579,1325065
REAL,1,DARK:20220322:P9,DARK,20220322,9,-0.7495133342728765,0,4579,1325065
REAL,1,DARK:20220323:P0,DARK,20220323,0,-0.18189164750806214,0,4579,1325065
REAL,1,DARK:20220323:P1,DARK,20220323,1,0.04119345538603361,0,4579,1325065
REAL,1,DARK:20220323:P2,DARK,20220323,2,-0.2639036012478592,0,4579,1325065
REAL,1,DARK:20220323:P3,DARK,20220323,3,0.6675512455687996,0,4579,1325065
REAL,1,DARK:20220323:P4,DARK,20220323,4,0.36446253789767175,0,4579,1325065
REAL,1,DARK:20220323:P5,DARK,20220323,5,0.5057947447297181,0,4579,1325065
REAL,1,DARK:20220323:P6,DARK,20220323,6,0.24480366771852122,0,4579,1325065
REAL,1,DARK:20220323:P7,DARK,20220323,7,-0.7798980227314086,0,4579,1325065
REAL,1,DARK:20220323:P8,DARK,20220323,8,0.04312823772947889,0,4579,1325065
REAL,1,DARK:20220323:P9,DARK,20220323,9,-0.6412406175428933,0,4579,1325065
REAL,1,DARK:20220324:P0,DARK,20220324,0,0.5487298382050302,0,4579,1325065
REAL,1,DARK:20220324:P1,DARK,20220324,1,0.1490390100830043,0,4579,1325065
REAL,1,DARK:20220324:P2,DARK,20220324,2,0.564696197424129,0,4579,1325065
REAL,1,DARK:20220324:P3,DARK,20220324,3,0.6517508515022798,0,4579,1325065
REAL,1,DARK:20220324:P4,DARK,20220324,4,-0.05709872562791797,0,4579,1325065
REAL,1,DARK:20220324:P5,DARK,20220324,5,-0.6152861126888756,0,4579,1325065
REAL,1,DARK:20220324:P6,DARK,20220324,6,0.01195640759914738,0,4579,1325065
REAL,1,DARK:20220324:P7,DARK,20220324,7,-1.0920855362071893,0,4579,1325065
REAL,1,DARK:20220324:P8,DARK,20220324,8,0.14412552551981095,0,4579,1325065
